cod_ibge;Municipio;Ano;Grupos Numero;Grupos;População
3503356;Arco-Íris;2020;3;Alto;1816
3503356;Arco-Íris;2022;3;Alto;2043
3503356;Arco-Íris;2024;4;Muito alto;2060
3503406;Arealva;2014;1;Baixo;7988
3503406;Arealva;2016;2;Médio;8060
3503406;Arealva;2018;3;Alto;8127
3503406;Arealva;2020;2;Médio;8196
3503406;Arealva;2022;2;Médio;8128
3503406;Arealva;2024;4;Muito alto;8154
3503505;Areias;2014;1;Baixo;3743
3503505;Areias;2016;1;Baixo;3772
3503505;Areias;2018;1;Baixo;3807
3503505;Areias;2020;1;Baixo;3843
3503505;Areias;2022;1;Baixo;3578
3503505;Areias;2024;1;Baixo;3550
3503604;Areiópolis;2014;1;Baixo;10662
3503604;Areiópolis;2016;1;Baixo;10719
3503604;Areiópolis;2018;1;Baixo;10788
3503604;Areiópolis;2020;1;Baixo;10857
3503604;Areiópolis;2022;2;Médio;10133
3503604;Areiópolis;2024;2;Médio;10006
3503703;Ariranha;2014;3;Alto;8868
3503703;Ariranha;2016;3;Alto;9025
3503703;Ariranha;2018;4;Muito alto;9171
3503703;Ariranha;2020;4;Muito alto;9320
3503703;Ariranha;2022;4;Muito alto;7608
3503703;Ariranha;2024;4;Muito alto;7395
3503802;Artur Nogueira;2014;2;Médio;47893
3503802;Artur Nogueira;2016;2;Médio;49620
3503802;Artur Nogueira;2018;3;Alto;51092
3503802;Artur Nogueira;2020;3;Alto;52609
3503802;Artur Nogueira;2022;3;Alto;51402
3503802;Artur Nogueira;2024;3;Alto;52489
3503901;Arujá;2014;1;Baixo;80841
3503901;Arujá;2016;2;Médio;83849
3503901;Arujá;2018;3;Alto;86746
3503901;Arujá;2020;3;Alto;89744
3503901;Arujá;2022;3;Alto;86590
3503901;Arujá;2024;3;Alto;88282
3503950;Aspásia;2014;3;Alto;1791
3503950;Aspásia;2016;4;Muito alto;1782
3503950;Aspásia;2018;4;Muito alto;1774
3503950;Aspásia;2020;4;Muito alto;1765
3503950;Aspásia;2022;4;Muito alto;1842
3503950;Aspásia;2024;4;Muito alto;1844
3504008;Assis;2014;3;Alto;97738
3504008;Assis;2016;3;Alto;99001
3504008;Assis;2018;3;Alto;100184
3504008;Assis;2020;3;Alto;101381
3504008;Assis;2022;3;Alto;101364
3504008;Assis;2024;3;Alto;101838
3504107;Atibaia;2014;3;Alto;132017
3504107;Atibaia;2016;3;Alto;134652
3504107;Atibaia;2018;4;Muito alto;137107
3504107;Atibaia;2020;4;Muito alto;139606
3504107;Atibaia;2022;3;Alto;158399
3504107;Atibaia;2024;4;Muito alto;163203
3504206;Auriflama;2014;2;Médio;14331
3504206;Auriflama;2016;3;Alto;14387
3504206;Auriflama;2018;3;Alto;14429
3504206;Auriflama;2020;4;Muito alto;14471
3504206;Auriflama;2022;2;Médio;13695
3504206;Auriflama;2024;2;Médio;13527
3504305;Avaí;2014;1;Baixo;5092
3504305;Avaí;2016;2;Médio;5158
3504305;Avaí;2018;2;Médio;5223
3504305;Avaí;2020;2;Médio;5288
3504305;Avaí;2022;1;Baixo;4486
3504305;Avaí;2024;1;Baixo;4398
3504404;Avanhandava;2014;1;Baixo;11621
3504404;Avanhandava;2016;2;Médio;11787
3504404;Avanhandava;2018;2;Médio;11949
3504404;Avanhandava;2020;2;Médio;12114
3504404;Avanhandava;2022;1;Baixo;11263
3504404;Avanhandava;2024;2;Médio;11180
3504503;Avaré;2014;2;Médio;84876
3504503;Avaré;2016;2;Médio;85810
3504503;Avaré;2018;2;Médio;86669
3504503;Avaré;2020;2;Médio;87538
3504503;Avaré;2022;2;Médio;92733
3504503;Avaré;2024;3;Alto;93870
3504602;Bady Bassitt;2014;3;Alto;15396
3504602;Bady Bassitt;2016;3;Alto;15750
3504602;Bady Bassitt;2018;3;Alto;16037
3504602;Bady Bassitt;2020;3;Alto;16329
3504602;Bady Bassitt;2022;2;Médio;27142
3504602;Bady Bassitt;2024;4;Muito alto;29429
3504701;Balbinos;2014;1;Baixo;3688
3504701;Balbinos;2016;2;Médio;3695
3504701;Balbinos;2018;3;Alto;3699
3504701;Balbinos;2020;3;Alto;3704
3504701;Balbinos;2022;3;Alto;3886
3504701;Balbinos;2024;4;Muito alto;3914
3504800;Bálsamo;2014;2;Médio;8323
3504800;Bálsamo;2016;3;Alto;8397
3504800;Bálsamo;2018;3;Alto;8460
3504800;Bálsamo;2020;3;Alto;8524
3504800;Bálsamo;2022;3;Alto;9585
3504800;Bálsamo;2024;4;Muito alto;9843
3504909;Bananal;2014;1;Baixo;10382
3504909;Bananal;2016;1;Baixo;10468
3504909;Bananal;2018;1;Baixo;10560
3504909;Bananal;2020;1;Baixo;10651
3504909;Bananal;2022;1;Baixo;9971
3504909;Bananal;2024;1;Baixo;9881
3505005;Barão de Antonina;2014;1;Baixo;3220
3505005;Barão de Antonina;2016;1;Baixo;3274
3505005;Barão de Antonina;2018;1;Baixo;3328
3505005;Barão de Antonina;2020;1;Baixo;3383
3505005;Barão de Antonina;2022;1;Baixo;3528
3505005;Barão de Antonina;2024;1;Baixo;3586
3505104;Barbosa;2014;1;Baixo;6863
3505104;Barbosa;2016;1;Baixo;7002
3505104;Barbosa;2018;2;Médio;7142
3505104;Barbosa;2020;2;Médio;7284
3505104;Barbosa;2022;1;Baixo;5646
3505104;Barbosa;2024;1;Baixo;5427
3505203;Bariri;2014;2;Médio;32606
3505203;Bariri;2016;3;Alto;33093
3505203;Bariri;2018;3;Alto;33540
3505203;Bariri;2020;3;Alto;33993
3505203;Bariri;2022;3;Alto;31595
