"cod_ibge";"municipio";"ano";"riqueza";"riqueza_estado";"longevidade";"longevidade_estado";"escolaridade";"escolaridade_estado";"IPDM";"IPDM_estado";"media"
3501400;"Álvaro de Carvalho";2016;0,23;0,438;0,631;0,717;0,391;0,511;0,417;0,555;1
3501400;"Álvaro de Carvalho";2018;0,245;0,451;0,678;0,721;0,457;0,563;0,46;0,578;1
3501400;"Álvaro de Carvalho";2020;0,229;0,439;0,784;0,722;0,507;0,594;0,507;0,585;1
3501400;"Álvaro de Carvalho";2022;0,211;0,441;0,8;0,697;0,459;0,556;0,49;0,565;1
3501400;"Álvaro de Carvalho";2024;0,266;0,464;0,737;0,716;0,516;0,569;0,506;0,583;1
3501509;"Alvinlândia";2014;0,285;0,457;0,704;0,698;0,549;0,449;0,513;0,535;1
3501509;"Alvinlândia";2016;0,279;0,438;0,675;0,717;0,561;0,511;0,505;0,555;1
3501509;"Alvinlândia";2018;0,295;0,451;0,643;0,721;0,605;0,563;0,514;0,578;1
3501509;"Alvinlândia";2020;0,28;0,439;0,69;0,722;0,613;0,594;0,528;0,585;1
3501509;"Alvinlândia";2022;0,285;0,441;0,622;0,697;0,568;0,556;0,492;0,565;1
3501509;"Alvinlândia";2024;0,315;0,464;0,599;0,716;0,558;0,569;0,491;0,583;1
3501608;"Americana";2014;0,449;0,457;0,716;0,698;0,588;0,449;0,584;0,535;0
3501608;"Americana";2016;0,428;0,438;0,754;0,717;0,654;0,511;0,612;0,555;0
3501608;"Americana";2018;0,437;0,451;0,761;0,721;0,667;0,563;0,622;0,578;0
3501608;"Americana";2020;0,426;0,439;0,783;0,722;0,681;0,594;0,63;0,585;0
3501608;"Americana";2022;0,434;0,441;0,754;0,697;0,641;0,556;0,61;0,565;0
3501608;"Americana";2024;0,458;0,464;0,759;0,716;0,674;0,569;0,63;0,583;0
3501707;"Américo Brasiliense";2014;0,376;0,457;0,732;0,698;0,443;0,449;0,517;0,535;1
3501707;"Américo Brasiliense";2016;0,374;0,438;0,734;0,717;0,509;0,511;0,539;0,555;1
3501707;"Américo Brasiliense";2018;0,38;0,451;0,72;0,721;0,577;0,563;0,559;0,578;1
3501707;"Américo Brasiliense";2020;0,369;0,439;0,68;0,722;0,593;0,594;0,547;0,585;1
3501707;"Américo Brasiliense";2022;0,385;0,441;0,673;0,697;0,569;0,556;0,542;0,565;1
